"category_id","parent_category_id","category_name","category_description"
1,0,"Cat A","main category A (child of joomgallery root)"
2,0,"Cat B","main category B (child of joomgallery root)"
3,0,"Cat C","main category C (child of joomgallery root)"
4,0,"Cat D","main category D (child of joomgallery root)"
5,1,"A1","child category if main A"
6,1,"A2","child category if main A"
7,2,"B1","child category if main B"
8,3,"C1","child category if main C"
9,4,"D1","child category if main D"
10,9,"D1.1","child category if D1"
11,9,"D1.2","child category if D1"
12,4,"D2","child category if main D"
